Watching for file changes with StatReloader
ERROR 2021-08-31 22:49:18,827 log 151664 140330660562496 Internal Server Error: /save_order/
Traceback (most recent call last):
  File "/home/artyom/.local/share/virtualenvs/lab3-JR_X8FWx/lib/python3.9/site-packages/django/core/handlers/exception.py", line 47, in inner
    response = get_response(request)
  File "/home/artyom/.local/share/virtualenvs/lab3-JR_X8FWx/lib/python3.9/site-packages/django/core/handlers/base.py", line 188, in _get_response
    self.check_response(response, callback)
  File "/home/artyom/.local/share/virtualenvs/lab3-JR_X8FWx/lib/python3.9/site-packages/django/core/handlers/base.py", line 309, in check_response
    raise ValueError(
ValueError: The view store.views.save_order didn't return an HttpResponse object. It returned None instead.
INFO 2021-08-31 22:49:37,055 basehttp 151664 140330634335808 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 22:49:37,095 basehttp 151664 140330634335808 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:49:38,285 basehttp 151664 140330634335808 "GET /cart/ HTTP/1.1" 200 4118
INFO 2021-08-31 22:50:14,157 basehttp 151664 140330634335808 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 22:50:14,201 basehttp 151664 140330634335808 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:52:21,740 autoreload 151664 140330723276608 /home/artyom/Documents/Uni/ISP/lab3/store/views.py changed, reloading.
INFO 2021-08-31 22:52:22,018 autoreload 153936 140321232553792 Watching for file changes with StatReloader
INFO 2021-08-31 22:52:55,781 autoreload 153936 140321232553792 /home/artyom/Documents/Uni/ISP/lab3/store/views.py changed, reloading.
INFO 2021-08-31 22:52:56,050 autoreload 154081 139696542037824 Watching for file changes with StatReloader
INFO 2021-08-31 22:52:59,740 basehttp 154081 139696479323712 "GET /cart/ HTTP/1.1" 200 4118
INFO 2021-08-31 22:52:59,774 basehttp 154081 139696479323712 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:53:02,287 basehttp 154081 139696479323712 "GET /products/ HTTP/1.1" 200 26885
INFO 2021-08-31 22:53:04,223 basehttp 154081 139696479323712 "GET /products/3 HTTP/1.1" 200 5090
INFO 2021-08-31 22:53:05,406 basehttp 154081 139696479323712 "POST /update_item/ HTTP/1.1" 200 16
INFO 2021-08-31 22:53:05,429 basehttp 154081 139696479323712 "GET /products/3 HTTP/1.1" 200 5090
INFO 2021-08-31 22:53:05,453 basehttp 154081 139696479323712 "GET /static/store/js/cart.js HTTP/1.1" 200 1603
INFO 2021-08-31 22:53:05,458 basehttp 154081 139696469882432 "GET /static/store/img/SK-C-216.jpg HTTP/1.1" 304 0
WARNING 2021-08-31 22:53:05,607 log 154081 139696479323712 Not Found: /favicon.ico
INFO 2021-08-31 22:53:08,294 basehttp 154081 139696469882432 "GET /cart/ HTTP/1.1" 200 5625
INFO 2021-08-31 22:53:09,843 basehttp 154081 139696479323712 "GET /cart/ HTTP/1.1" 200 4118
INFO 2021-08-31 22:53:09,884 basehttp 154081 139696479323712 "GET /static/store/js/cart.js HTTP/1.1" 304 0
